Customenumber,Organisationsnummer
3895992,5561998435
3380797,559054-1982
3380227,5561994772
3486339,5565902631
3930492,5565951877
3379088,5565198396
3377744,5568302326
3534799,5567811319
3377587,5568219462
4430039,5565149878
4354668,556871-1203
3930526,5566656293
3486404,5567834113
4330163,5565952727
3489234,5568129208
3589603,5567489892
3486099,5566155270
3997004,5566100557
3387768,5566242177
3352528,5566971700
3486131,5565094983
3486412,556910-5975
3487063,5566533948
3333143,5561788828
3486768,5566916747
3486743,5567858492
3439049,5561719682
3533569,5561361048
3438686,5562071257
3589553,5562775287
3486321,9165561516
3590403,5565023404
3486156,5562000561
11958,5566574918
3335601,5561138826
3486164,5565570925
3378742,5561138826
3438611,5567532246
3733391,559072-9181
3538774,5566472311
3589140,5566472329
3550187,5566472337
3486610,5567694814
12094,556885-7162
3589249,5562400092
3589496,5561882985
3691573,5563073062
3794658,5561587089
3590171,5562306778
3589298,5561378679
12259,556981-3172
4050142,556981-3172
18475,556981-3172
3337052,5569813172
12383,5569813172
3336989,5569813172
3336955,5569813172
12553,5565972451
12561,5565972451
12580,5562758101
3692092,5564720166
3313178,5102210811
3377181,5561749804
4450168,5566284765
3450604,5566172317
12680,5566172317
12681,5565275434
3486511,5563486934
12703,5564363207
12709,5569813172
3794831,5567908388
3434875,5561632232
18407,5561632232
3339025,556163223201
3336849,5561632232
3377645,5561632232
3377389,5561632232
3350138,5561632232
3750181,5561632232
3486040,5561632232
3450653,5565036141
3450337,5565036141
3538790,5561632232
3550069,5561632232
3850077,5561632232
3738671,556163223201
3950112,5561632232
4050097,5561632232
4350055,5565036141
4450181,5565036141
18466,5561632232
3436185,7585001006
3536109,7585001006
3438041,7546000535
3436151,7585001006
3536257,7585001006
4456828,7732002089
3337102,556981-3172
3377348,5569813172
4357331,7585001006
3536166,7585001006
3736022,5569813172
4036018,5568470859
3436029,7585001006
3436219,7585001006
3436334,7585001006
3436458,7585001006
3438512,7585001006
3436268,7585001006
4357240,7585001006
3436110,7585001006
3436037,7585001006
3434941,7585001006
4036091,5569813172
4350133,7585001006
4357364,7585001006
4357208,7585001006
3589512,7585001006
3936119,5569813172
3519600,7585001006
3402278,7585001006
3733078,5569813172
3938081,5569813172
4357232,7585001006
4357307,7732002089
4450012,7732002089
4457347,7732002089
4459095,7732002089
3836079,5569813172
16444,0
16450,556981-3172
16494,0
16507,0
16509,758500-1006
16510,0
16525,556919-0985
17470,0
17474,556981-3172
17475,0
17503,55 69 63-0907
17566,556909-4237
17575,5566196225
17587,556696-4549
17588,556619-9815
17596,5569602617
17640,5565036141
17641,5565036141
17697,0
18473,55617-2317
18476,556527-5434
18589,0
18606,0
18615,559106-7045
18736,559028-4724
18747,556163223201
18756,5569257966
18774,5565036141
18775,5565036141
18778,5565036141
18478,556353-3453
1066,5560305921
1453,5566059647
1030049,5563942795
0534453,5591041727
1039759,5565283172
0530275,5560305921
1030012,5560305921
16516,0
16541,556901-0183
17853,5590251988
6730030,5566505086
6856488,5565400305
6830111,5561967638
6856892,5565360814
6830210,5566505201
6930069,5565770830
6730063,5565798138
6730394,5564127636
1562,5564628906
6230197,5565399994
6830244,5565580684
6530141,5564271616
6430185,9696177600
6230056,5564820446
6630107,5564935574
6530034,5563168672
6030142,5563926038
6530109,5560926239
6530778,5562761006
6530174,5565539565
6430201,5564166212
6230031,5563351112
6455067,5562232032
6430409,5561975607
6530075,5561911859
6530117,5561951814
6455075,5565261301
6430003,5565770798
6459580,5566096607
7058159,0
6530091,5566567391
6330260,5564964624
6330062,5565235081
6330070,5561431197
6330567,5565454757
6330146,5590256409  
6330047,5564934486
6330534,5566351986
6330294,5564964616
6355010,5561828079
6353239,5564298338
6330245,5561035212
6330377,5563225894
6630057,5561967760
6357081,5565704649
6359624,5566003512
6330120,5568993926
